student_id,last_name,first_name,sca_1,sca_2,sca_3,sca_avg,staar_curr,staar_curr_clas
1,Tahleel Ahmed,Michael,41.7,61.1,,51.4,1433,Did Not Meet Grade Level
2,Nicholas Anderton,Christopher,50,44.4,,47.2,1578,Did Not Meet Grade Level
3,Janis Ashton,Jessica,50,50,,50,1578,Did Not Meet Grade Level
4,Paola Bacigalupo,Matthew,58,44,50,50.7,1513,Did Not Meet Grade Level
5,Adrian Barlow,Ashley,33,39,71,47.7,1540,Did Not Meet Grade Level
6,Kenneth Bartlett,Jennifer,50,27.8,,38.9,1603,Approaches Grade Level
7,Simon Beck,Joshua,null,22,21,21.5,1414,Did Not Meet Grade Level
8,Winston Beckett,Amanda,16.7,38.9,,27.8,null,null
9,Mary Bedson,Daniel,67,89,88,81.3,1823,Meets Grade Level
10,Deborah Bellamy,David,58.3,44.4,,51.35,1603,Approaches Grade Level
11,Mark Brown,James,33.3,38.9,,36.1,null,null
12,Vivian Brown,Robert,33.3,38.9,,36.1,null,null
13,Jeremy Browne,John,25,11.1,,18.05,1513,Did Not Meet Grade Level
14,Edward Burden,Joseph,33,33,29,31.7,1553,Did Not Meet Grade Level
15,Gerard Burton,Andrew,0,11.1,,5.55,null,null
16,Julia Cable,Ryan,33.3,null,,33.3,1513,Did Not Meet Grade Level
17,Darren Charles,Brandon,17,22,46,28.3,1468,Did Not Meet Grade Level
18,Rochelle Cherry,Jason,16.7,null,,16.7,null,null
19,Fatema Choudhury,Justin,0,22.2,,11.1,1484,Did Not Meet Grade Level
20,Anthony Clark,Sarah,33.3,44.4,,38.85,1433,Did Not Meet Grade Level
21,Peter Claus,William,8,56,42,35.3,1527,Did Not Meet Grade Level
22,Andy Claypole,Jonathan,25,16.7,,20.85,1433,Did Not Meet Grade Level
23,Kaysha Cole,Stephanie,25,61,38,41.3,1603,Approaches Grade Level
24,Michael Cooper,Brian,8.3,null,,8.3,null,null
25,John Curran,Nicole,42,67,63,57.3,1802,Meets Grade Level
26,Sandra Davies,Nicholas,25,77.8,,51.4,1527,Did Not Meet Grade Level
27,Anthony Delaney,Anthony,33.3,33.3,,33.3,1513,Did Not Meet Grade Level
28,Patrick Doherty,Heather,33.3,16.7,,25,1578,Did Not Meet Grade Level
29,Frances Donohoe,Eric,16.7,22.2,,19.45,1527,Did Not Meet Grade Level
30,Geoffrey Dunbar,Elizabeth,34,44,25,34.3,1540,Did Not Meet Grade Level
31,Kimberley Durling,Adam,16.7,16.7,,16.7,1566,Did Not Meet Grade Level
32,Angela Dutton,Megan,83.3,55.6,,69.45,1734,Meets Grade Level
33,Norman Elkington,Melissa,42,61,null,51.5,null,null
